req,pos,labels
"Each college has a website
Each college is structured into departments, each of which brings together specific teachers.",DET NOUN VERB DET NOUN SPACE DET NOUN AUX VERB ADP NOUN PUNCT PRON ADP PRON VERB ADV ADJ NOUN PUNCT,O entity relationship O attr O O entity O relationship O entity O O O O relationship O O entity O
"Among these teachers, one of them is responsible for the department.
",ADP DET NOUN PUNCT NUM ADP PRON AUX ADJ ADP DET NOUN PUNCT SPACE,O O entity O O O O O relationship O O entity O O
"A teacher is defined by his surname, first name, phone, email, date of taking office and his index.
",DET NOUN AUX VERB ADP PRON NOUN PUNCT ADJ NOUN PUNCT NOUN PUNCT NOUN PUNCT NOUN ADP VERB NOUN CCONJ PRON NOUN PUNCT SPACE,O entity O relationship O O attr O O attr O attr O attr O attr O O O O O attr O O
"Each teacher teaches only one subject.
",DET NOUN VERB ADV NUM NOUN PUNCT SPACE,O entity relationship O O entity O O
"Students take several subjects and receive a mark for each of them.
",NOUN VERB ADJ NOUN CCONJ VERB DET NOUN ADP PRON ADP PRON PUNCT SPACE,entity relationship O entity O O O O O O O O O O
"For each student, we want to manage his name, first name, phone, email, as well as his year of entry to college.
",ADP DET NOUN PUNCT PRON VERB PART VERB PRON NOUN PUNCT ADJ NOUN PUNCT NOUN PUNCT NOUN PUNCT ADV ADV ADP PRON NOUN ADP NOUN ADP NOUN PUNCT SPACE,O O entity O O O O O O attr O O attr O attr O attr O O O O O attr O O O entity O O
"A subject can be taught by several teachers but always takes place in the same classroom (each having a specific number of places).
",DET NOUN AUX AUX VERB ADP ADJ NOUN CCONJ ADV VERB NOUN ADP DET ADJ NOUN PUNCT PRON VERB DET ADJ NOUN ADP NOUN PUNCT PUNCT SPACE,O entity O O relationship O O entity O O O O O O O entity O O O O O attr O O O O O
"We want to be able to calculate the average by subject as well as by department
We also want to calculate the general average of a student and be able to display the subjects in which he has not been noted
Finally, we must be able to print the data sheet (, first name, phone, email) of a teacher or a student.",PRON VERB PART AUX ADJ PART VERB DET NOUN ADP NOUN ADV ADV ADP ADP NOUN SPACE PRON ADV VERB PART VERB DET ADJ NOUN ADP DET NOUN CCONJ AUX ADJ PART VERB DET NOUN ADP PRON PRON AUX PART AUX VERB SPACE ADV PUNCT PRON AUX AUX ADJ PART VERB DET NOUN NOUN PUNCT PUNCT ADJ NOUN PUNCT NOUN PUNCT NOUN PUNCT ADP DET NOUN CCONJ DET NOUN PUNCT,O O O O O O O O O O entity O O O O entity O O O O O O O O O O O entity O O O O O O entity O O O relationship O O O O O O O O O O O O O O O O O O attr O attr O attr O O O entity O O entity O
"Consider the following sentences:

A directory contains files
A room contains walls
Modems and keyboards are input/output devices
A stock transaction is a purchase or a sale
A bank account can belong to a natural or legal person",VERB DET VERB NOUN PUNCT SPACE DET NOUN VERB NOUN SPACE DET NOUN VERB NOUN SPACE PROPN CCONJ NOUN AUX NOUN SYM NOUN NOUN SPACE DET NOUN NOUN AUX DET NOUN CCONJ DET NOUN SPACE DET NOUN NOUN AUX VERB ADP DET ADJ CCONJ ADJ NOUN,O O O O O O O entity relationship entity O O entity relationship entity O entity O entity relationship O O O entity O O O entity relationship O entity O O entity O O O entity O relationship O O entity O entity O
"Either in a school that performs the following functions:
Develop catalogs that describe the courses and give the estimated dates of the sessions.
",CCONJ ADP DET NOUN PRON VERB DET VERB NOUN PUNCT SPACE VERB NOUN PRON VERB DET NOUN CCONJ VERB DET VERB NOUN ADP DET NOUN PUNCT SPACE,O O O O O O O O O O O O O O O O entity O O O O O O O entity O O
"Register people who wish to participate in the sessions and send them their invitation.
",PROPN NOUN PRON VERB PART VERB ADP DET NOUN CCONJ VERB PRON PRON NOUN PUNCT SPACE,O entity O O O relationship O O entity O O O O O O O
Determine the trainers who will lead the sessions.,VERB DET NOUN PRON AUX VERB DET NOUN PUNCT,O O entity O O relationship O entity O
"Some sessions may be led by individual contractors.
",DET NOUN AUX AUX VERB ADP ADJ NOUN PUNCT SPACE,O entity O O relationship O O entity O O
Some courses are organized into sectors.,DET NOUN AUX VERB ADP NOUN PUNCT,O entity O relationship O entity O
The courses use referenced documents.,DET NOUN VERB VERB NOUN PUNCT,O entity relationship O entity O
